flow,speed,time
13.0,67.0,2021-01-20 07:45:00
14.0,51.0,2021-01-20 08:00:00
18.0,46.0,2021-01-20 08:15:00
12.0,29.0,2021-01-20 08:30:00
23.0,63.0,2021-01-20 08:45:00
27.0,65.0,2021-01-20 09:00:00
37.0,56.0,2021-01-20 09:15:00
33.0,62.0,2021-01-20 09:30:00
29.0,48.0,2021-01-20 09:45:00
30.0,48.0,2021-01-20 10:00:00
38.0,59.0,2021-01-20 10:15:00
46.0,58.0,2021-01-20 10:30:00
46.0,67.0,2021-01-20 10:45:00
32.0,52.0,2021-01-20 11:00:00
39.0,62.0,2021-01-20 11:15:00
45.0,63.0,2021-01-20 11:30:00
44.0,62.0,2021-01-20 11:45:00
37.0,55.0,2021-01-20 12:00:00
41.0,54.0,2021-01-20 12:15:00
35.0,52.0,2021-01-20 12:30:00
44.0,57.0,2021-01-20 12:45:00
23.0,30.0,2021-01-20 13:00:00
40.0,55.0,2021-01-20 13:15:00
35.0,48.0,2021-01-20 13:30:00
48.0,55.0,2021-01-20 13:45:00
44.0,61.0,2021-01-20 14:00:00
38.0,56.0,2021-01-20 14:15:00
37.0,51.0,2021-01-20 14:30:00
40.0,45.0,2021-01-20 14:45:00
38.0,50.0,2021-01-20 15:00:00
48.0,53.0,2021-01-20 15:15:00
41.0,37.0,2021-01-20 15:30:00
32.0,25.0,2021-01-20 15:45:00
30.0,31.0,2021-01-20 16:00:00
47.0,54.0,2021-01-20 16:15:00
44.0,53.0,2021-01-20 16:30:00
61.0,60.0,2021-01-20 16:45:00
32.0,34.0,2021-01-20 17:00:00
24.0,15.0,2021-01-20 17:15:00
28.0,20.0,2021-01-20 17:30:00
37.0,47.0,2021-01-20 17:45:00
43.0,51.0,2021-01-20 18:00:00
41.0,46.0,2021-01-20 18:15:00
33.0,36.0,2021-01-20 18:30:00
35.0,48.0,2021-01-20 18:45:00
34.0,34.0,2021-01-20 19:00:00
23.0,36.0,2021-01-20 19:15:00
20.0,43.0,2021-01-20 19:30:00
26.0,53.0,2021-01-20 19:45:00
27.0,49.0,2021-01-20 20:00:00
28.0,45.0,2021-01-20 20:15:00
30.0,56.0,2021-01-20 20:30:00
17.0,37.0,2021-01-20 20:45:00
22.0,63.0,2021-01-20 21:00:00
29.0,67.0,2021-01-20 21:15:00
19.0,56.0,2021-01-20 21:30:00
20.0,72.0,2021-01-20 21:45:00
13.0,81.0,2021-01-20 22:00:00
12.0,82.0,2021-01-20 22:15:00
11.0,76.0,2021-01-20 22:30:00
14.0,79.0,2021-01-20 22:45:00
15.0,91.0,2021-01-20 23:00:00
4.0,100.0,2021-01-20 23:15:00
9.0,100.0,2021-01-20 23:30:00
3.0,100.0,2021-01-20 23:45:00
4.0,100.0,2021-01-21 00:00:00
2.0,100.0,2021-01-21 00:15:00
10.0,100.0,2021-01-21 00:30:00
6.0,100.0,2021-01-21 00:45:00
1.0,100.0,2021-01-21 01:00:00
9.0,100.0,2021-01-21 01:15:00
4.0,100.0,2021-01-21 01:30:00
13.0,82.0,2021-01-21 01:45:00
7.0,72.0,2021-01-21 02:00:00
4.0,35.0,2021-01-21 02:15:00
5.0,35.0,2021-01-21 02:30:00
5.0,3.0,2021-01-21 02:45:00
6.0,51.0,2021-01-21 03:00:00
5.0,3.0,2021-01-21 03:15:00
3.0,3.0,2021-01-21 03:30:00
6.0,35.0,2021-01-21 03:45:00
7.0,61.0,2021-01-21 04:00:00
8.0,35.0,2021-01-21 04:15:00
5.0,35.0,2021-01-21 04:30:00
7.0,13.0,2021-01-21 04:45:00
6.0,13.0,2021-01-21 05:00:00
7.0,35.0,2021-01-21 05:15:00
9.0,61.0,2021-01-21 05:30:00
8.0,35.0,2021-01-21 05:45:00
7.0,3.0,2021-01-21 06:00:00
4.0,3.0,2021-01-21 06:15:00
8.0,51.0,2021-01-21 06:30:00
10.0,72.0,2021-01-21 06:45:00
10.0,72.0,2021-01-21 07:00:00
